Designator,Mid X,Mid Y,Rotation,Layer
C1,149.2711,-64.435,90.0,top
C2,136.3,-77.335,90.0,top
C3,149.2965,-77.275,90.0,top
C4,136.29825,-64.43,90.0,top
D1,157.4,-64.6,0.0,top
D10,163.320833,-87.398271,0.0,top
D12,169.454167,-87.398271,0.0,top
D15,175.5875,-87.398271,0.0,top
D16,181.1,-105.6,90.0,top
D2,163.533333,-64.6,0.0,top
D3,169.666667,-64.6,0.0,top
D4,175.8,-64.6,0.0,top
D5,175.733333,-76.3,0.0,top
D6,169.6,-76.3,0.0,top
D7,163.466666,-76.3,0.0,top
D8,157.333333,-76.3,0.0,top
D9,157.1875,-87.398271,0.0,top
LED1,133.5,-100.7,0.0,top
LED2,140.9966,-100.7,0.0,top
LED3,148.4932,-100.7,0.0,top
LED4,155.9932,-100.7,0.0,top
LED5,133.5,-105.9,0.0,top
LED6,140.9966,-105.9,0.0,top
LED7,148.4932,-105.9,0.0,top
LED8,155.9932,-105.9,0.0,top
R1,157.3,-69.0,0.0,top
R10,163.3,-91.5,0.0,top
R11,126.35,-89.8,0.0,top
R12,169.5,-91.5,0.0,top
R13,126.35,-92.4,0.0,top
R14,175.55,-91.5,0.0,top
R15,181.1,-99.2,90.0,top
R16,147.75,-92.4,0.0,top
R17,147.75,-89.8,0.0,top
R18,122.85,-106.566667,180.0,top
R19,122.85,-103.9,180.0,top
R2,163.5,-69.0,0.0,top
R20,133.483333,-92.4,0.0,top
R21,133.483333,-89.8,0.0,top
R22,122.85,-101.233334,180.0,top
R23,122.85,-98.566667,0.0,top
R24,164.05,-101.5,0.0,top
R25,164.05,-98.8,0.0,top
R26,140.616667,-92.4,0.0,top
R27,140.616667,-89.8,0.0,top
R28,164.05,-106.9,0.0,top
R29,164.05,-104.2,0.0,top
R3,169.7,-69.0,0.0,top
R4,175.8,-69.0,0.0,top
R5,175.695833,-80.4,0.0,top
R6,169.495833,-80.4,0.0,top
R7,163.395833,-80.4,0.0,top
R8,157.295833,-80.4,0.0,top
R9,157.2,-91.5,0.0,top
SW1,174.4,-105.8,0.0,top
U1,105.1,-98.4,90.0,top
U2,143.8203,-66.955,0.0,top
U3,130.9035,-79.8,0.0,top
U4,143.8,-79.8,0.0,top
U5,130.90175,-66.955,0.0,top
